Severus Snape,Voldemort,
Sirius Black,Lily Evans Potter,
Sirius Black,Original Character(s),
Sirius Black,Severus Snape,
Sirius,Remus,
Snupin,
SSHG,
Teddy Lupin,James Sirius Potter,
Theodore Nott,Blaise Zabini,
Theodore Nott,Pansy Parkinson,
Tina Goldstein,Newt Scamander,
40,Orion Black,Harry Potter
68,James &quot;Bucky&quot; Barnes,Harry Potter
92,Jasper Hale,Harry Potter
94,Rabastan Lestrange,Harry Potter
121,Marcus Flint,Harry Potter
121,Regulus Black,Harry Potter
130,Fenrir Greyback,Harry Potter
131,Edward Cullen,Harry Potter
162,Harry Potter,Tony Stark
162,Loki (Marvel),Harry Potter
162,Severus Snape,Ron Weasley
162,Viktor Krum,Harry Potter
192,Hermione Granger,Thorfinn Rowle
193,Viktor Krum,Ron Weasley
200,Hermione Granger,Andromeda Black Tonks
207,Hermione Granger,Voldemort
213,Hermione Granger,James Potter
218,Draco Malfoy,Albus Severus Potter
223,Antonin Dolohov,Hermione Granger
224,Harry Potter,Bill Weasley
225,Hermione Granger,Bill Weasley
226,Harry Potter,Fred Weasley
226,Neville Longbottom,Theodore Nott
228,Susan Bones,Harry Potter
239,Regulus Black,Remus Lupin
243,Minerva McGonagall,Poppy Pomfrey
248,Gellert Grindelwald,Newt Scamander
251,James Potter,Original Female Character(s)
255,Penelope Clearwater,Percy Weasley
258,Luna Lovegood,Pansy Parkinson
260,Euphemia Potter,Fleamont Potter
260,Scorpius Malfoy,Harry Potter
262,Hermione Granger,Minerva McGonagall
262,Newt Scamander,Reader
262,Scorpius Malfoy,Lily Luna Potter
263,Tom Riddle,Severus Snape
268,Harry Potter,Reader
268,James Sirius Potter,Original Female Character(s)
273,Charlie Weasley,Original Female Character(s)
276,Severus Snape,Original Male Character(s)
283,Daphne Greengrass,Theodore Nott
285,Harry Potter,Nymphadora Tonks
292,Regulus Black,Sirius Black
293,Tom Riddle,Ginny Weasley
299,Remus Lupin,James Potter
301,Godric Gryffindor,Salazar Slytherin
307,Regulus Black,Bartemius Crouch Jr.
308,Albus Dumbledore,Severus Snape
310,Draco Malfoy,Lucius Malfoy
316,Albus Dumbledore,Minerva McGonagall
317,Harry Potter,George Weasley
324,Minerva McGonagall,Severus Snape
324,Orion Black,Walburga Black
340,Narcissa Black Malfoy,Severus Snape
346,Luna Lovegood,Ron Weasley
367,Draco Malfoy,Original Male Character(s)
370,Scorpius Malfoy,James Sirius Potter
375,Luna Lovegood,Theodore Nott
385,Leta Lestrange,Theseus Scamander
388,Angelina Johnson,Fred Weasley
388,Regulus Black,Severus Snape
390,Dean Thomas,Ginny Weasley
393,Hermione Granger,Neville Longbottom
397,Audrey Weasley,Percy Weasley
400,Remus Lupin,Harry Potter
404,Hermione Granger,George Weasley
405,Luna Lovegood,Rolf Scamander
409,Cho Chang,Cedric Diggory
409,Regulus Black,Original Female Character(s)
415,Cho Chang,Harry Potter
420,Severus Snape,Other(s)
428,Luna Lovegood,Blaise Zabini
432,Neville Longbottom,Blaise Zabini
438,Draco Malfoy,Charlie Weasley
438,Fleur Delacour,Harry Potter
463,Draco Malfoy,Other(s)
487,Petunia Evans Dursley,Vernon Dursley
497,Credence Barebone,Newt Scamander
503,Tom Riddle,Original Female Character(s)
506,Hermione Granger,Blaise Zabini
507,Draco Malfoy,Theodore Nott
507,Lavender Brown,Parvati Patil
511,George Weasley,Reader
522,Neville Longbottom,Ginny Weasley
536,Fred Weasley,Reader
558,Remus Lupin,Reader
567,Ron Weasley,Blaise Zabini
576,George Weasley,Original Female Character(s)
593,Harry Potter,Charlie Weasley
598,Hermione Granger,Luna Lovegood
600,Fred Weasley,George Weasley
606,Pansy Parkinson,Ginny Weasley
622,Hermione Granger,Charlie Weasley
633,Draco Malfoy,Blaise Zabini
647,Luna Lovegood,Draco Malfoy
